ArtikelNR,PG,PGSub,ArtikelType,OmsNederlands,L5_ARTIKELTYPE,Synoniem,,
167202,Keukens,Overigen keukens,AANRECHTBAKKEN,"STAINLESS STEEL FARM SINK 36""X20""X1.5MM 1B D=10"" SS304",Spoelbak,Aanrechtbak,Gootsteenbak,
53411,Keukens,Aanrechtbladen,AANRECHTBLADEN,"SPOELBAK ONTARIO L INB 3.5"" 80X40X19CM 1BK RVS",Spoelbak,Aanrechtbak,Gootsteenbak,
107559,Keukens,Aanrechtbladen,AANRECHTBLADEN,"MM PROFIR AANRECHT 3.5"" 2-BAK M/AFLEG ZWART",Werkblad,Aanrechtblad,,
91288,Keukens,Aanrechtbladen,AANRECHTBLADEN,"SPOELBAK MOSCOW R OPB 3.5"" 1BK RVS OKG",Spoelbak,Aanrechtbak,Gootsteenbak,
11897,Keukens,Aanrechtbladen,AANRECHTBLADEN,TEKA AANRECHT 200 X 50 CM LAY-ON 2B 2D RVS,Werkblad,Aanrechtblad,,
16768,Keukens,Aanrechtbladen,AANRECHTBLADEN,"SPOELBAK AQUALINE PACIFIC INB 1.5"" 1BK GEPOLIJST",Spoelbak,Aanrechtbak,Gootsteenbak,
66821,Keukens,Aanrechtbladen,AANRECHTBLADEN,TEKA AANRECHT 98 X 50 CM TEXINA 60 B RVS,Spoelbak,Aanrechtbak,Gootsteenbak,
183942,Keukens,Aanrechtbladen,AANRECHTBLADEN,VERBINDINGSBUIS M2205,Verbindingstuk,Verbindingsbuis,,
111267,Diversen,,AANSTEKER,UNILITE AANSTEKER 5 ASS. EAN-LABEL CHR CAP TRAY,Aansteker,,,
184497,Huishoud,Overigen huishoud,AANSTEKER,GAS AANSTEKER 27.5 CM LANG HERVULBAAR,Aansteker,,,
254323,Diversen,,AANSTEKERS,UNILITE U-8611 AANSTEKERS BLISTER 2ST 4ASS (1.7GR),Aansteker,,,
13944,Elektra,Draad en kabel,AARDDRAAD,AARDDRAAD VERTIND 6.0MM,Aarddraad,,,
153719,Elektra,Installatiematerialen,AARDLEKAUTOMAAT,GACIA L80M-B16 AARDL AUTOM B16A 1P+N 30MA 6KA,Aardlekschakelaar,Aardlekautomaat,,
186745,Elektra,Installatiematerialen,AARDLEKSCHAKELAAR,OEZ AARDLEKSCHAKELAAR 40A 2P 30MA 10KA LFN-40-2-030A,Aardlekschakelaar,Aardlekautomaat,,
261579,Elektra,Installatiematerialen,ADEREINDHULZEN,KLA 173/8 ADEREINDHULS 2.5 MM,Adereindhuls,,,
24304,Verf en behang,Verfgereedschappen,AFPLAKBAND,PGZ AFPLAKTAPE SET 4 ROLLEN 50 M X 19 MM,Afplaktape,Masking tape,,
76245,Verf en behang,Verfgereedschappen,AFPLAKBAND,SUPERTAPE MASKING TAPE UNIVERSAL 25MMX50MTR.,Afplaktape,Masking tape,,
194161,Ijzerwaren,Overigen ijzerwaren,AFSTANDHOUDERS,SUPPORTLIGGER H100 X B080 X 2000 MM B500B,Afstandhouder,,,
150395,Huishoud,Afvalopslag,AFVALBAKKEN,KP SWANTJE SWING AFVALBAK 10 L GRIJS/CREME,Afvalbak,Prullenbak,,
95930,Huishoud,Afvalopslag,AFVALBAKKEN,VEPA TOP-FIX AFVALBAK 25 L GRANIET,Afvalbak,Prullenbak,,
121634,Huishoud,Afvalopslag,AFVALEMMERS,SEM PEDAALEMMER 30L ROND MAT CHR,Pedaalemmer,,,
60509,Sanitair,Waterleiding installatiematerialen,AFVOERBUIZEN PVC,AFVOERBUIS PVC 110X3.4MM SN8 L= 5 M GRIJS,Afvoerbuis,,,
261439,Huishoud,Overigen huishoud,AIRCONDITIONING,REMOTE CONTROL TBV 12KBTU R410A 60HZ INVERTER 20SEER,Afstandbedening,,,
226198,"Ijzer, staal en non-ferro",Non-ferro,ALUZINK,ALUZINK GOLFPLAAT 5487 X 1095/988 X 0.60MM 14G X 76 X 18MM,Plaat - aluminium,Aluminium plaat,Alu plaat,
154618,Ijzerwaren,Bevestigingsmaterialen,ANKERS,SRM DOORSTEEKANKER EV S-KA 6/50 X 100,Doorsteekanker,Anker,,
51396,Huishoud,Keukengerei,ANTI-SPAT,ANTI SPAT DEKSEL 33 CM ROND,Spatdeksel,Anti Spatdeksel,Spat deksel,Anti Spat Deksel
193090,Verlichting,Interieurverlichting,ARMATUREN,ALORIA BUITEN WANDLAMP 1 X 60W E27 ALU WIT,Wandlamp - buiten,Wandlamp,,
