ArtikelNR,PG,PGSub,ArtikelType,OmsNederlands,L5_ARTIKELTYPE,Synoniem,Unnamed: 7,Unnamed: 8
,,,,"['STAINLESS STEEL FARM SINK xxxvi "" X20 "" X1. 5MM 1B Viosterol = ten "" SS304']",Spoelbak,,,
,,,,"['SPOELBAK lake ontario L INB ternion. 5 "" 80X40X19CM 1BK RVS']",Spoelbak,,,
,,,,"['millimeter PROFIR AANRECHT triplet. 5 "" 2 - BAK M / AFLEG ZWART']",Werkblad,,,
,,,,"['SPOELBAK MOSCOW Roentgen OPB 3. v "" 1BK RVS OKG']",Spoelbak,,,
,,,,['TEKA AANRECHT two hundred X 50 centimeter LAY - ON 2B 2D r.v.'],Werkblad,,,
,,,,"['SPOELBAK AQUALINE PACIFIC INB 1. v "" 1BK GEPOLIJST']",Spoelbak,,,
,,,,['TEKA AANRECHT 98 Ecstasy 50 CM TEXINA 60 Vitamin b RVS'],Spoelbak,,,
,,,,['VERBINDINGSBUIS M2205'],Verbindingstuk,,,
,,,,['UNILITE AANSTEKER 5 ASS. EAN - LABEL CHR CAP TRAY'],Aansteker,,,
,,,,['gasoline AANSTEKER xxvii. 5 CM LANG HERVULBAAR'],Aansteker,,,
,,,,['UNILITE U - 8611 AANSTEKERS BLISTER 2ST 4ASS (1. 7GR )'],Aansteker,,,
,,,,['AARDDRAAD VERTIND sixer. 0MM'],Aarddraad,,,
,,,,['GACIA L80M - B16 AARDL AUTOM B16A 1P + Due north 30MA 6KA'],Aardlekschakelaar,,,
,,,,['OEZ AARDLEKSCHAKELAAR 40A 2P 30MA 10KA LFN - 40 - 2 - 030A'],Aardlekschakelaar,,,
,,,,['KLA 173 / 8 ADEREINDHULS 2. 5 millimetre'],Adereindhuls,,,
,,,,['PGZ AFPLAKTAPE curing tetrad ROLLEN 50 M X 19 MM'],Afplaktape,,,
,,,,['SUPERTAPE MASKING TAPE linguistic universal 25MMX50MTR.'],Afplaktape,,,
,,,,['SUPPORTLIGGER H100 X B080 Ten 2000 MM B500B'],Afstandhouder,,,
