ArtikelNR,PG,PGSub,ArtikelType,OmsNederlands,OmsEngels,OmsFrans,Unnamed: 7,Unnamed: 8,A5 ARTIKELTYPE,Synoniem,Unnamed: 11,Unnamed: 12
39307,Sanitair,Wastafels en toiletten,AANSLUITMATERIALEN,WISA UITSTR MECHANISME 2100/2102 MF EXC, , ,0.72259170832169,0.007732444615108136,,,,
67170,Gereedschappen,Handgereedschap elektrisch,ACCESSOIRES,MTB SPANMOER TBV SLIJPER W20-230SP, , ,0.5621988357854789,0.0089592738423524,,,,
225818,Gereedschappen,Handgereedschap elektrisch,ACCUBOORMACHINE,GÉNÉRAL CORDLESS DRILL 18V 230V/50HZ BLUE/BLACK,GÉNÉRAL CORDLESS DRILL 18V 230V/50HZ BLUE/BLACK,GENERAL PERCEUSE SANS FIL 18V 230V/50HZ BLEU/NOIR,0.6883632678421722,0.003447716548773183,,,,
261434,Huishoud,Overigen huishoud,AIRCONDITIONING,PC BOARD INDOOR UNIT TBV 12KBTU R410A 60HZ INVERTER 20SEER,PC BOARD INDOOR UNIT TBV 12KBTU R410A 60HZ INVERTER 20SEER, ,0.34976368552286996,0.010887791121192203,,,,
44735,"Ijzer, staal en non-ferro",Non-ferro,ALUMINIUM,ALU PLAAT 2000X1000X2.5MM AW-1050A H14/H24, , ,0.2780814809632056,0.004400651732804239,,,,
179685,Diversen,,BADKAMER ACCESSOIRES,KUBUS PLANK SET3 CHOCO, ,SET DE 3 CUBES GIGOGNES CHOCO,0.6372192075440305,0.0016759730706892295,,,,
252691,Diversen,,BADKAMER ACCESSOIRES,PLANK 25X22.8X3.4 CM ROZE, ,ETAGERE FLOTTANTE 75X22.8CM ROSE,0.7959535307723042,0.008312910703014098,,,,
68035,Sanitair,Kranen,BOVENDELEN,VENLO BOVENDEEL 1/2 KERAMISCH Z/KNOP,VENLO UPPER PART 1/2 CERAMIC WITHOUT KNOB, ,0.7460463517641946,0.003708755844597955,,,,
44786,Stationary,Overigen stationary,CREPEPAPIER,HZ CREPEPAPIER 250 X 50 CM LICHTBLAUW IN POLYZAK,HZ CREPE PAPER 250 X 50 CM LIGHT BLUE IN POLYBAG, ,0.09733392455589918,0.006957049693770756,,,,
56000,Hout- en bouwmaterialen,Dakbedekking,DAKPANPLAAT ACC,IDE EIND NOORDBOOMSTUK RAL 3011, , ,0.8411057135539327,0.005604942919347322,,,,
